subid,goal,trial,item,positivity,utterance,judgment
anon-22,no_goal,33,presentation,pos,okay,3
anon-22,social,34,painting,neg,okay,2
anon-22,no_goal,35,song,neg,good,2
anon-22,informative,36,review,pos,amazing,5
anon-22,social,37,cake,neg,terrible,2
anon-22,informative,38,solo,neg,terrible,2
anon-22,informative,39,film,neg,bad,3
anon-22,no_goal,40,dance,pos,amazing,5
anon-23,social,1,dance,neg,terrible,1
anon-23,both,2,solo,neg,bad,1
anon-23,both,3,cookie,pos,okay,2
anon-23,both,4,film,neg,terrible,1
anon-23,both,5,recital,pos,terrible,1
anon-23,no_goal,6,song,pos,terrible,1
anon-23,informative,7,presentation,pos,terrible,1
anon-23,social,8,song,pos,amazing,3
anon-23,informative,9,dance,neg,good,1
anon-23,informative,10,app,neg,terrible,3
anon-23,informative,11,song,neg,okay,1
anon-23,both,12,review,pos,bad,1
anon-23,both,13,monologue,neg,okay,2
anon-23,no_goal,14,film,neg,good,1
anon-23,informative,15,monologue,pos,amazing,5
anon-23,social,16,app,pos,okay,2
anon-23,social,17,recital,neg,okay,1
