"subid","goal","true_state","utterance"
"157","both","5","not_amazing"
"157","both","3","not_okay"
"157","both","2","not_okay"
"157","both","1","not_okay"
"157","both","4","not_good"
"160","social","4","not_amazing"
"160","social","5","yes_bad"
"160","social","2","not_okay"
"160","social","3","not_okay"
"160","social","1","not_bad"
"160","both","4","not_amazing"
"160","both","3","not_good"
"160","both","2","yes_amazing"
"160","both","5","not_amazing"
"160","both","1","not_okay"
"160","informative","1","not_terrible"
"160","informative","5","not_okay"
"160","informative","2","not_bad"
"160","informative","3","not_bad"
"160","informative","4","yes_amazing"
"170","both","4","not_good"
"170","both","5","not_amazing"
"170","both","3","not_okay"
"170","both","1","yes_terrible"
"170","both","2","yes_bad"
"170","informative","1","not_bad"
"170","informative","4","not_good"
"170","informative","5","not_amazing"
"170","informative","2","not_okay"
"170","informative","3","yes_bad"
"170","social","3","not_okay"
"170","social","5","not_amazing"
"170","social","1","yes_good"
"170","social","2","yes_okay"
"170","social","4","not_good"
"180","social","3","not_good"
"180","social","1","yes_bad"
"180","social","2","not_okay"
"180","social","5","not_amazing"
"180","social","4","not_good"
"180","informative","4","yes_bad"
"180","informative","3","yes_bad"
"180","informative","2","not_bad"
"180","informative","1","not_terrible"
"180","informative","5","not_amazing"
"180","both","4","not_good"
"180","both","1","yes_bad"
"180","both","5","not_amazing"
"180","both","3","not_okay"
"180","both","2","yes_bad"
"182","both","5","not_amazing"
"182","both","2","not_bad"
"182","both","3","not_okay"
"182","both","4","not_good"
"182","both","1","yes_terrible"
"182","social","3","not_okay"
"182","social","1","yes_terrible"
"182","social","4","not_good"
"182","social","5","not_amazing"
"182","social","2","yes_bad"
"182","informative","5","not_okay"
"182","informative","2","not_terrible"
"182","informative","1","not_terrible"
"182","informative","4","not_good"
"182","informative","3","not_okay"
"187","both","3","not_good"
"187","both","5","not_amazing"
"187","both","4","not_good"
"187","both","2","not_okay"
"187","both","1","yes_bad"
"187","social","1","yes_good"
"187","social","3","not_okay"
"187","social","4","not_amazing"
"187","social","2","not_okay"
"187","social","5","not_amazing"
"187","informative","3","not_good"
"187","informative","5","not_amazing"
"187","informative","4","not_good"
"187","informative","1","not_bad"
"187","informative","2","yes_terrible"
"188","informative","4","not_good"
"188","informative","3","not_okay"
"188","informative","5","not_amazing"
"188","informative","2","not_bad"
"188","informative","1","not_terrible"
"188","social","3","not_okay"
"188","social","5","not_amazing"
"188","social","1","not_okay"
"188","social","4","not_good"
"188","social","2","not_bad"
"188","both","2","not_bad"
"188","both","1","not_okay"
"188","both","5","not_amazing"
"188","both","4","not_good"
"188","both","3","not_good"
"194","both","3","not_good"
"194","both","4","not_good"
"194","both","1","not_bad"
"194","both","5","not_amazing"
"194","both","2","not_okay"
"194","social","1","yes_bad"
"194","social","3","not_good"
"194","social","4","not_good"
"194","social","5","not_good"
"194","social","2","yes_bad"
"194","informative","4","not_okay"
"194","informative","5","yes_bad"
"194","informative","3","not_okay"
"194","informative","2","not_okay"
"194","informative","1","yes_terrible"
"195","both","3","not_good"
"195","both","2","not_okay"
"195","both","4","not_good"
"195","both","5","not_amazing"
"195","both","1","yes_terrible"
"195","informative","3","yes_bad"
"195","informative","2","not_okay"
"195","informative","1","yes_terrible"
"195","informative","5","not_amazing"
"195","informative","4","not_good"
"195","social","3","not_good"
"195","social","4","not_good"
"195","social","1","yes_bad"
"195","social","2","not_okay"
"195","social","5","not_amazing"
"198","social","5","not_amazing"
"198","social","2","not_okay"
"198","social","3","not_good"
"198","social","1","yes_bad"
"198","social","4","not_good"
"198","informative","1","not_terrible"
"198","informative","5","not_amazing"
"198","informative","2","not_bad"
"198","informative","4","not_good"
"198","informative","3","yes_bad"
"198","both","3","not_good"
"198","both","1","yes_terrible"
"198","both","5","not_amazing"
"198","both","4","not_good"
"198","both","2","yes_bad"
"200","social","4","not_good"
"200","social","1","yes_bad"
"200","social","5","not_amazing"
"200","social","2","not_okay"
"200","social","3","not_okay"
"200","informative","5","not_good"
"200","informative","2","yes_bad"
"200","informative","3","not_okay"
"200","informative","4","not_good"
"200","informative","1","not_terrible"
"200","both","3","not_good"
"200","both","4","not_good"
"200","both","2","not_bad"
"200","both","5","not_amazing"
"200","both","1","not_okay"
"1","both","3","not_good"
"1","both","2","not_okay"
"1","both","1","yes_terrible"
"1","both","4","not_amazing"
"1","both","5","not_amazing"
"1","informative","3","yes_bad"
"1","informative","5","yes_bad"
"1","informative","2","not_okay"
"1","informative","1","yes_terrible"
"1","informative","4","yes_amazing"
"1","social","1","not_amazing"
"1","social","5","not_okay"
"1","social","3","not_amazing"
"1","social","4","not_okay"
"1","social","2","not_good"
"2","informative","1","yes_good"
"2","informative","2","yes_terrible"
"2","informative","3","not_okay"
"2","informative","4","not_good"
"2","informative","5","not_amazing"
"2","both","1","yes_good"
"2","both","5","not_amazing"
"2","both","4","not_good"
"2","both","2","not_bad"
"2","both","3","yes_amazing"
"2","social","3","not_okay"
"2","social","2","yes_terrible"
"2","social","4","not_good"
"2","social","5","not_amazing"
"2","social","1","not_bad"
"14","informative","2","not_okay"
"14","informative","1","not_terrible"
"14","informative","3","not_okay"
"14","informative","4","not_good"
"14","informative","5","not_amazing"
"14","both","2","not_okay"
"14","both","1","not_bad"
"14","both","5","not_amazing"
"14","both","3","not_good"
"14","both","4","not_good"
"14","social","1","yes_terrible"
"14","social","4","not_amazing"
"14","social","5","not_amazing"
"14","social","3","not_amazing"
"14","social","2","not_good"
"19","both","2","yes_bad"
"19","both","1","yes_terrible"
"19","both","5","not_amazing"
"19","both","4","not_good"
"19","both","3","yes_bad"
"19","informative","2","not_okay"
"19","informative","5","not_amazing"
"19","informative","1","not_bad"
"19","informative","3","not_okay"
"19","informative","4","not_good"
"19","social","1","not_good"
"19","social","3","not_amazing"
"19","social","2","not_good"
"19","social","5","not_amazing"
"19","social","4","not_amazing"
"21","informative","5","not_good"
"21","informative","4","not_good"
"21","informative","3","not_okay"
"21","informative","1","not_bad"
"21","informative","2","not_bad"
"21","social","1","not_terrible"
"21","social","2","not_okay"
"21","social","4","not_good"
"21","social","5","not_amazing"
"21","social","3","not_good"
"21","both","5","not_amazing"
"21","both","3","not_good"
"21","both","4","not_good"
"21","both","2","yes_terrible"
"21","both","1","yes_terrible"
"24","both","5","not_amazing"
"24","both","4","not_good"
"24","both","1","not_terrible"
"24","both","2","not_bad"
"24","both","3","not_okay"
"24","social","5","not_amazing"
"24","social","4","not_good"
"24","social","2","not_okay"
"24","social","1","yes_terrible"
"24","social","3","not_good"
"24","informative","3","not_okay"
"24","informative","1","not_terrible"
"24","informative","2","not_okay"
"24","informative","5","not_amazing"
"24","informative","4","not_good"
"26","social","2","not_amazing"
"26","social","3","not_amazing"
"26","social","4","yes_bad"
"26","social","5","yes_bad"
"26","social","1","not_good"
"26","informative","1","not_terrible"
"26","informative","4","not_good"
"26","informative","2","not_bad"
"26","informative","5","not_amazing"
"26","informative","3","not_okay"
"26","both","4","not_good"
"26","both","2","yes_terrible"
"26","both","3","yes_bad"
"26","both","5","not_amazing"
"26","both","1","yes_terrible"
"29","informative","4","not_good"
"29","informative","1","not_terrible"
"29","informative","5","not_amazing"
"29","informative","2","not_bad"
"29","informative","3","yes_good"
"29","both","1","not_terrible"
"29","both","2","not_bad"
"29","both","3","yes_good"
"29","both","5","yes_terrible"
"29","both","4","not_amazing"
"29","social","3","not_okay"
"29","social","5","not_amazing"
"29","social","2","not_okay"
"29","social","4","not_good"
"29","social","1","not_terrible"
"30","social","2","yes_bad"
"30","social","3","not_okay"
"30","social","4","not_amazing"
"30","social","1","not_okay"
"30","social","5","not_amazing"
"30","both","1","yes_terrible"
"30","both","3","not_good"
"30","both","2","not_terrible"
"30","both","5","not_amazing"
"30","both","4","not_amazing"
"30","informative","5","not_good"
"30","informative","1","not_terrible"
"30","informative","2","not_bad"
"30","informative","4","not_good"
"30","informative","3","not_okay"
"34","informative","1","not_bad"
"34","informative","2","not_okay"
"34","informative","4","not_good"
"34","informative","5","not_amazing"
"34","informative","3","not_okay"
"34","both","1","yes_bad"
"34","both","5","not_amazing"
"34","both","2","yes_bad"
"34","both","3","not_good"
"34","both","4","not_good"
"34","social","3","not_good"
"34","social","1","not_okay"
"34","social","2","not_good"
"34","social","4","not_amazing"
"34","social","5","not_amazing"
"35","both","4","not_amazing"
"35","both","5","not_amazing"
"35","both","3","not_good"
"35","both","2","yes_good"
"35","both","1","yes_terrible"
"35","informative","4","not_good"
"35","informative","3","not_okay"
"35","informative","2","yes_amazing"
"35","informative","5","not_amazing"
"35","informative","1","not_terrible"
"35","social","3","not_good"
"35","social","5","not_amazing"
"35","social","2","not_good"
"35","social","4","not_amazing"
"35","social","1","yes_bad"
"42","social","2","not_good"
"42","social","3","not_okay"
"42","social","1","yes_bad"
"42","social","4","not_amazing"
"42","social","5","not_amazing"
"42","both","1","not_okay"
"42","both","4","not_good"
"42","both","3","not_okay"
"42","both","2","yes_bad"
"42","both","5","not_amazing"
"42","informative","5","yes_terrible"
"42","informative","1","not_terrible"
"42","informative","4","not_good"
"42","informative","3","yes_bad"
"42","informative","2","not_okay"
"47","informative","4","not_good"
"47","informative","5","not_amazing"
"47","informative","1","yes_bad"
"47","informative","2","yes_terrible"
"47","informative","3","not_okay"
"47","both","2","yes_bad"
"47","both","1","yes_terrible"
"47","both","4","not_good"
"47","both","3","yes_bad"
"47","both","5","not_amazing"
"47","social","1","yes_bad"
"47","social","4","not_amazing"
"47","social","5","not_amazing"
"47","social","3","not_good"
"47","social","2","not_good"
"48","social","1","not_good"
"48","social","3","not_good"
"48","social","5","yes_bad"
"48","social","4","yes_terrible"
"48","social","2","not_good"
"48","both","2","not_okay"
"48","both","4","not_amazing"
"48","both","3","not_good"
"48","both","1","not_okay"
"48","both","5","not_amazing"
"48","informative","1","not_terrible"
"48","informative","2","not_bad"
"48","informative","3","not_okay"
"48","informative","5","yes_terrible"
"48","informative","4","not_good"
"55","social","3","not_good"
